epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,22461.7,1.00477,1.01391,1.43391,0.66799,0.36914,0.41015,0.30084,0.79226,0.871,1.31296,0.005512,0.005512,0.005512
70,22806.7,0.95321,0.9944,1.42461,0.70095,0.3759,0.42643,0.31633,0.78909,0.86807,1.31567,0.005446,0.005446,0.005446
71,23121.7,0.95748,1.00455,1.41527,0.68398,0.35685,0.39579,0.29241,0.78953,0.89941,1.31254,0.00538,0.00538,0.00538
72,23449.2,0.94919,0.98989,1.41329,0.6513,0.38799,0.41725,0.3063,0.78763,0.862,1.3078,0.005314,0.005314,0.005314
73,23775.3,0.96173,1.0056,1.41738,0.69232,0.38102,0.4359,0.32228,0.79938,0.87973,1.32559,0.005248,0.005248,0.005248
74,24099.9,0.93607,0.97871,1.41753,0.64895,0.38426,0.44256,0.32824,0.79081,0.8502,1.30575,0.005182,0.005182,0.005182
75,24447.4,0.94543,0.95885,1.39637,0.63358,0.40752,0.43286,0.31943,0.78311,0.85244,1.3089,0.005116,0.005116,0.005116
76,24755.8,0.93067,0.97917,1.38224,0.60694,0.39889,0.42787,0.31833,0.76451,0.84106,1.2844,0.00505,0.00505,0.00505
77,25076.6,0.92683,0.94646,1.39482,0.66578,0.38883,0.42841,0.3176,0.77347,0.83026,1.29249,0.004984,0.004984,0.004984
78,25424.8,0.9248,0.93905,1.38755,0.66674,0.38719,0.424,0.31404,0.7674,0.84169,1.29382,0.004918,0.004918,0.004918
79,25751.3,0.90392,0.94173,1.37419,0.66394,0.38472,0.44267,0.32924,0.76907,0.83004,1.28902,0.004852,0.004852,0.004852
80,26068.7,0.92285,0.93932,1.38775,0.66913,0.40338,0.44489,0.33092,0.76553,0.82318,1.28469,0.004786,0.004786,0.004786
81,26381.9,0.91757,0.92318,1.38612,0.70112,0.3847,0.43293,0.32354,0.75591,0.82476,1.27941,0.00472,0.00472,0.00472
82,26716,0.92577,0.92074,1.38258,0.63337,0.42869,0.46091,0.34083,0.75982,0.80765,1.28834,0.004654,0.004654,0.004654
83,27052.2,0.89608,0.91776,1.37452,0.68438,0.40237,0.45815,0.34159,0.75645,0.79848,1.28,0.004588,0.004588,0.004588
84,27376.7,0.91838,0.9029,1.3597,0.65852,0.41701,0.46075,0.34536,0.74648,0.79964,1.26925,0.004522,0.004522,0.004522
85,27686.1,0.90602,0.91042,1.37013,0.70122,0.39975,0.45932,0.34229,0.74388,0.78854,1.26768,0.004456,0.004456,0.004456
86,28013.9,0.8809,0.89707,1.36062,0.74834,0.38203,0.45759,0.33902,0.74316,0.78835,1.26699,0.00439,0.00439,0.00439
87,28363.2,0.88863,0.88114,1.36231,0.65207,0.41471,0.46378,0.34663,0.74703,0.78619,1.26942,0.004324,0.004324,0.004324
88,28667.6,0.9046,0.912,1.37165,0.67011,0.392,0.43937,0.32824,0.74257,0.79461,1.26773,0.004258,0.004258,0.004258
89,28950.4,0.91036,0.91982,1.38096,0.67183,0.41733,0.47166,0.35344,0.73411,0.78205,1.26149,0.004192,0.004192,0.004192
90,29256.4,0.91106,0.91448,1.35679,0.68987,0.39752,0.45437,0.3391,0.73274,0.77641,1.25935,0.004126,0.004126,0.004126
91,29540.6,0.8787,0.91124,1.37059,0.62555,0.43248,0.47962,0.35905,0.72995,0.76701,1.25448,0.00406,0.00406,0.00406
